"term","name","family"
"'Bodge","French","Indo-European"
"'eid","Arabic","Afro-Asiatic"
"'em","Middle English","Indo-European"
"'ismah","Arabic","Afro-Asiatic"
"'Ole","Dzongkha","Sino-Tibetan"
"'Phags-pa","Tibetan","Sino-Tibetan"
"'prentice","Middle English","Indo-European"
"'rickshaw","Japanese","Japonic"
"'s-Hertogenbosch","Dutch","Indo-European"
"'umra","Arabic","Afro-Asiatic"
"-'s","Middle English","Indo-European"
"-a","Latin","Indo-European"
"-a-","French","Indo-European"
"-ability","Latin","Indo-European"
"-able","Middle French","Indo-European"
"-ac","French","Indo-European"
"-aceous","Latin","Indo-European"
"-acity","Latin","Indo-European"
"-acy","Latin","Indo-European"
"-ad","Ancient North Greek","Indo-European"
"-ade","Latin","Indo-European"
"-adic","Ancient North Greek","Indo-European"
"-aemia","Ancient North Greek","Indo-European"
"-age","Middle French","Indo-European"
"-agogue","Ancient North Greek","Indo-European"
"-aire","French","Indo-European"
"-al","Middle English","Indo-European"
"-algia","Old Latin","Indo-European"
"-algy","Old Latin","Indo-European"
"-ality","French","Indo-European"
"-ally","Middle English","Indo-European"
"-ambulist","Latin","Indo-European"
"-amundo","Spanish","Indo-European"
"-an","Middle French","Indo-European"
"-ana","Latin","Indo-European"
"-ance","Anglo-Norman","Indo-European"
"-ancy","Latin","Indo-European"
"-and","Middle English","Indo-European"
"-andry","Ancient North Greek","Indo-European"
"-ane","Latin","Indo-European"
"-aneous","Latin","Indo-European"
"-ant","Middle French","Indo-European"
"-anth","Ancient North Greek","Indo-European"
"-anthropy","Ancient North Greek","Indo-European"
"-ar","Latin","Indo-European"
"-arch","Late Latin","Indo-European"
"-archy","Ancient North Greek","Indo-European"
"-ard","Middle French","Indo-European"
"-arian","Latin","Indo-European"
"-arium","Latin","Indo-European"
"-ary","Latin","Indo-European"
"-ast","Ancient North Greek","Indo-European"
"-aster","Latin","Indo-European"
"-ate","Latin","Indo-European"
"-athlon","Ancient North Greek","Indo-European"
"-atim","Latin","Indo-European"
"-ation","Middle French","Indo-European"
"-ator","Latin","Indo-European"
"-biotic","Ancient North Greek","Indo-European"
"-blast","Ancient North Greek","Indo-European"
"-boro","Middle English","Indo-European"
"-borough","Middle English","Indo-European"
"-burg","Middle English","Indo-European"
"-burgh","Middle English","Indo-European"
"-bury","Middle English","Indo-European"
"-by","Old Norse","Indo-European"
"-caine","German","Indo-European"
"-carp","Ancient North Greek","Indo-European"
"-carpic","Ancient North Greek","Indo-European"
"-carpous","Ancient North Greek","Indo-European"
"-cele","Ancient North Greek","Indo-European"
"-cene","Ancient North Greek","Indo-European"
"-centesis","Ancient North Greek","Indo-European"
"-centric","Ancient North Greek","Indo-European"
"-cephaly","Ancient North Greek","Indo-European"
"-ception","Indo-European","Indo-European"
"-chan","Japanese","Japonic"
"-chezia","Ancient North Greek","Indo-European"
"-chore","Ancient North Greek","Indo-European"
"-choron","Ancient North Greek","Indo-European"
"-cide","French","Indo-European"
"-clase","Ancient North Greek","Indo-European"
"-clast","Ancient North Greek","Indo-European"
"-clinal","Ancient North Greek","Indo-European"
"-cline","Indo-European","Indo-European"
"-coccus","Old Latin","Indo-European"
"-coel","Ancient North Greek","Indo-European"
"-cole","French","Indo-European"
"-colous","Latin","Indo-European"
"-corn","Latin","Indo-European"
"-cracy","Ancient North Greek","Indo-European"
"-craft","Middle English","Indo-European"
"-crasy","Ancient North Greek","Indo-European"
"-crat","Indo-European","Indo-European"
"-cratic","Middle French","Indo-European"
"-cy","Anglo-Norman","Indo-European"
"-cyte","Latin","Indo-European"
"-dactyl","French","Indo-European"
"-dere","Japanese","Japonic"
"-derm","Ancient North Greek","Indo-European"
"-derma","Ancient North Greek","Indo-European"
"-dermatous","Ancient North Greek","Indo-European"
"-desis","Ancient North Greek","Indo-European"
"-dipsia","Ancient North Greek","Indo-European"
"-dom","Germanic","Indo-European"
"-drome","Ancient North Greek","Indo-European"
"-dromous","Ancient North Greek","Indo-European"
"-ean","Latin","Indo-European"
"-ectomy","Ancient North Greek","Indo-European"
"-ed","Middle English","Indo-European"
"-ee","Middle French","Indo-European"
"-een","Irish","Indo-European"
"-eer","Middle French","Indo-European"
"-el","Middle French","Indo-European"
"-elle","French","Indo-European"
"-eme","Ancient North Greek","Indo-European"
"-emia","Ancient North Greek","Indo-European"
"-en","Old Norse","Indo-European"
"-ence","Middle French","Indo-European"
"-enchyma","Ancient North Greek","Indo-European"
"-ency","Latin","Indo-European"
"-ene","Ancient North Greek","Indo-European"
"-ennial","Latin","Indo-European"
"-ent","Middle French","Indo-European"
"-eous","Middle English","Indo-European"
"-er","Latin","Indo-European"
"-ergy","Ancient North Greek","Indo-European"
"-ern","Middle English","Indo-European"
"-ery","Anglo-Norman","Indo-European"
"-es","Middle English","Indo-European"
"-esce","Latin","Indo-European"
"-escence","Latin","Indo-European"
"-escent","Latin","Indo-European"
"-ese","Middle French","Indo-European"
"-esque","Italian","Indo-European"
"-ess","Middle French","Indo-European"
"-est","Middle English","Indo-European"
"-et","Middle French","Indo-European"
"-eth","Middle English","Indo-European"
"-etic","Ancient North Greek","Indo-European"
"-ette","Middle French","Indo-European"
"-ety","Latin","Indo-European"
"-exia","Ancient North Greek","Indo-European"
"-ferous","Latin","Indo-European"
"-fest","German","Indo-European"
"-fix","Latin","Indo-European"
"-fold","Indo-European","Indo-European"
"-form","Latin","Indo-European"
"-free","Middle English","Indo-European"
"-fugal","Latin","Indo-European"
"-fuge","Latin","Indo-European"
"-ful","Germanic","Indo-European"
"-gamous","Ancient North Greek","Indo-European"
"-gamy","Ancient North Greek","Indo-European"
"-gastria","Ancient North Greek","Indo-European"
"-gate","Middle English","Indo-European"
"-gen","Ancient North Greek","Indo-European"
"-genesis","Ancient North Greek","Indo-European"
"-genic","French","Indo-European"
"-geny","Ancient North Greek","Indo-European"
"-gerous","Latin","Indo-European"
"-giri","Hindi","Indo-European"
"-glossia","Ancient North Greek","Indo-European"
"-gnathous","Ancient North Greek","Indo-European"
"-gon","Indo-European","Indo-European"
"-gony","Ancient North Greek","Indo-European"
"-gram","Ancient North Greek","Indo-European"
"-graph","Ancient North Greek","Indo-European"
"-grapher","Ancient North Greek","Indo-European"
"-graphy","French","Indo-European"
"-head","Middle English","Indo-European"
"-hedra","Ancient North Greek","Indo-European"
"-hedron","Ancient North Greek","Indo-European"
"-hood","Middle English","Indo-European"
"-i","Latin","Indo-European"
"-i-","Latin","Indo-European"
"-ia","Latin","Indo-European"
"-ial","Latin","Indo-European"
"-ian","Latin","Indo-European"
"-iana","Latin","Indo-European"
"-iasis","Ancient North Greek","Indo-European"
"-iatric","Ancient North Greek","Indo-European"
"-iatrics","Ancient North Greek","Indo-European"
"-iatry","Ancient North Greek","Indo-European"
"-ible","Latin","Indo-European"
"-ic","Middle French","Indo-European"
"-ica","Latin","Indo-European"
"-ical","Middle French","Indo-European"
"-ician","French","Indo-European"
"-icle","Middle English","Indo-European"
"-id","Middle French","Indo-European"
"-idine","German","Indo-European"
"-ie","Indo-European","Indo-European"
"-ienne","French","Indo-European"
"-iety","French","Indo-European"
"-ific","Latin","Indo-European"
"-ification","Latin","Indo-European"
"-ify","Middle French","Indo-European"
"-ile","Latin","Indo-European"
"-illiard","French","Indo-European"
"-in'","Middle English","Indo-European"
"-inda","Germanic","Indo-European"
